id,modulo,tema,subtema,nivel_dificultad,incidencias,enunciado
V654-DRP-0051,MP0059 Planes de emergencias,Ejecución de un DRP,"Planes Tema 5: preparación, activación, operatividad, desactivación, desmontaje y análisis",filtro_10,EXPLICACION_CORTA,¿Cuál es el primer paso obligatorio para diseñar el DRP del año siguiente según el tema?
V654-DRP-0053,MP0059 Planes de emergencias,Ejecución de un DRP,"Planes Tema 5: preparación, activación, operatividad, desactivación, desmontaje y análisis",filtro_10,EXPLICACION_CORTA,En el briefing final se detecta que el montaje del PSA retrasó el inicio operativo. ¿Qué aspecto se está evaluando?
V701-0031,MP0061 Anatomofisiología,"Cardiocirculatorio, respiratorio y sangre",Conducción cardíaca,basica,EXPLICACION_CORTA,"¿Qué concepto corresponde a ""Conducción cardíaca"" dentro de Cardiocirculatorio, respiratorio y sangre en el módulo de TES?"
V701-0032,MP0061 Anatomofisiología,"Cardiocirculatorio, respiratorio y sangre",Conducción cardíaca,intermedia,EXPLICACION_CORTA,"En una pregunta tipo test de MP0061 Anatomofisiología, te piden identificar el elemento clave de Conducción cardíaca. ¿Cuál es la opción más correcta?"
V701-0033,MP0061 Anatomofisiología,"Cardiocirculatorio, respiratorio y sangre",Conducción cardíaca,alta,EXPLICACION_CORTA,"Durante una actuación simulada, el equipo debe aplicar el criterio de Conducción cardíaca. ¿Qué respuesta se ajusta mejor al procedimiento esperado?"
V701-0034,MP0061 Anatomofisiología,"Cardiocirculatorio, respiratorio y sangre",Conducción cardíaca,alta,EXPLICACION_CORTA,"Un alumno confunde conceptos próximos de Cardiocirculatorio, respiratorio y sangre. ¿Cuál de las siguientes opciones define con más precisión Conducción cardíaca?"
V701-0035,MP0061 Anatomofisiología,"Cardiocirculatorio, respiratorio y sangre",Conducción cardíaca,alta,EXPLICACION_CORTA,Caso de examen: aparece un escenario donde el dato decisivo es Conducción cardíaca. ¿Qué opción debe priorizarse para no fallar la pregunta?
V701-0051,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Glucemia,basica,EXPLICACION_CORTA,"¿Qué concepto corresponde a ""Glucemia"" dentro de Digestivo, renal, endocrino e inmunidad en el módulo de TES?"
V701-0052,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Glucemia,intermedia,EXPLICACION_CORTA,"En una pregunta tipo test de MP0061 Anatomofisiología, te piden identificar el elemento clave de Glucemia. ¿Cuál es la opción más correcta?"
V701-0053,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Glucemia,alta,EXPLICACION_CORTA,"Durante una actuación simulada, el equipo debe aplicar el criterio de Glucemia. ¿Qué respuesta se ajusta mejor al procedimiento esperado?"
V701-0054,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Glucemia,alta,EXPLICACION_CORTA,"Un alumno confunde conceptos próximos de Digestivo, renal, endocrino e inmunidad. ¿Cuál de las siguientes opciones define con más precisión Glucemia?"
V701-0055,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Glucemia,alta,EXPLICACION_CORTA,Caso de examen: aparece un escenario donde el dato decisivo es Glucemia. ¿Qué opción debe priorizarse para no fallar la pregunta?
V701-0096,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Digestión,basica,EXPLICACION_CORTA,"¿Qué concepto corresponde a ""Digestión"" dentro de Digestivo, renal, endocrino e inmunidad en el módulo de TES?"
V701-0097,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Digestión,intermedia,EXPLICACION_CORTA,"En una pregunta tipo test de MP0061 Anatomofisiología, te piden identificar el elemento clave de Digestión. ¿Cuál es la opción más correcta?"
V701-0098,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Digestión,alta,EXPLICACION_CORTA,"Durante una actuación simulada, el equipo debe aplicar el criterio de Digestión. ¿Qué respuesta se ajusta mejor al procedimiento esperado?"
V701-0099,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Digestión,alta,EXPLICACION_CORTA,"Un alumno confunde conceptos próximos de Digestivo, renal, endocrino e inmunidad. ¿Cuál de las siguientes opciones define con más precisión Digestión?"
V701-0100,MP0061 Anatomofisiología,"Digestivo, renal, endocrino e inmunidad",Digestión,alta,EXPLICACION_CORTA,Caso de examen: aparece un escenario donde el dato decisivo es Digestión. ¿Qué opción debe priorizarse para no fallar la pregunta?
V701-0141,MP0053 Logística sanitaria,Stock y almacenamiento,FIFO,basica,EXPLICACION_CORTA,"¿Qué concepto corresponde a ""FIFO"" dentro de Stock y almacenamiento en el módulo de TES?"
V701-0142,MP0053 Logística sanitaria,Stock y almacenamiento,FIFO,intermedia,EXPLICACION_CORTA,"En una pregunta tipo test de MP0053 Logística sanitaria, te piden identificar el elemento clave de FIFO. ¿Cuál es la opción más correcta?"
V701-0143,MP0053 Logística sanitaria,Stock y almacenamiento,FIFO,alta,EXPLICACION_CORTA,"Durante una actuación simulada, el equipo debe aplicar el criterio de FIFO. ¿Qué respuesta se ajusta mejor al procedimiento esperado?"
V701-0144,MP0053 Logística sanitaria,Stock y almacenamiento,FIFO,alta,EXPLICACION_CORTA,Un alumno confunde conceptos próximos de Stock y almacenamiento. ¿Cuál de las siguientes opciones define con más precisión FIFO?
V701-0145,MP0053 Logística sanitaria,Stock y almacenamiento,FIFO,alta,EXPLICACION_CORTA,Caso de examen: aparece un escenario donde el dato decisivo es FIFO. ¿Qué opción debe priorizarse para no fallar la pregunta?
V701-0231,MP0059 Planes de emergencias,Órganos y grupos,PMA,basica,EXPLICACION_CORTA,"¿Qué concepto corresponde a ""PMA"" dentro de Órganos y grupos en el módulo de TES?"
V701-0232,MP0059 Planes de emergencias,Órganos y grupos,PMA,intermedia,EXPLICACION_CORTA,"En una pregunta tipo test de MP0059 Planes de emergencias, te piden identificar el elemento clave de PMA. ¿Cuál es la opción más correcta?"
V701-0233,MP0059 Planes de emergencias,Órganos y grupos,PMA,alta,EXPLICACION_CORTA,"Durante una actuación simulada, el equipo debe aplicar el criterio de PMA. ¿Qué respuesta se ajusta mejor al procedimiento esperado?"
V701-0234,MP0059 Planes de emergencias,Órganos y grupos,PMA,alta,EXPLICACION_CORTA,Un alumno confunde conceptos próximos de Órganos y grupos. ¿Cuál de las siguientes opciones define con más precisión PMA?
V701-0235,MP0059 Planes de emergencias,Órganos y grupos,PMA,alta,EXPLICACION_CORTA,Caso de examen: aparece un escenario donde el dato decisivo es PMA. ¿Qué opción debe priorizarse para no fallar la pregunta?
